기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	외국인	외국인	외국인
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2020.1/4	합계	합계	10,013,781	4,874,995	5,138,786	1,518,239	671,095	847,144	1,510,460	667,011	843,449	7,779	4,084	3,695
2020.1/4	종로구	소계	161,984	78,271	83,713	28,073	12,459	15,614	27,855	12,335	15,520	218	124	94
2020.1/4	종로구	사직동	9,841	4,469	5,372	1,818	775	1,043	1,805	768	1,037	13	7	6
2020.1/4	종로구	삼청동	2,993	1,435	1,558	679	293	386	655	278	377	24	15	9
2020.1/4	종로구	부암동	10,597	5,042	5,555	1,799	793	1,006	1,791	788	1,003	8	5	3
2020.1/4	종로구	평창동	18,768	8,807	9,961	3,335	1,436	1,899	3,320	1,427	1,893	15	9	6
2020.1/4	종로구	무악동	8,767	4,074	4,693	1,438	611	827	1,438	611	827	-	-	-
2020.1/4	종로구	교남동	10,750	5,001	5,749	1,601	662	939	1,594	658	936	7	4	3
2020.1/4	종로구	가회동	4,464	2,070	2,394	930	388	542	924	383	541	6	5	1
2020.1/4	종로구	종로1.2.3.4가동	8,539	4,964	3,575	1,950	1,086	864	1,905	1,060	845	45	26	19
2020.1/4	종로구	종로5·6가동	5,853	3,180	2,673	1,138	548	590	1,133	546	587	5	2	3
2020.1/4	종로구	이화동	8,460	3,879	4,581	1,404	589	815	1,399	586	813	5	3	2
2020.1/4	종로구	창신1동	6,046	3,240	2,806	1,244	604	640	1,234	600	634	10	4	6
2020.1/4	종로구	창신2동	9,776	4,980	4,796	1,733	754	979	1,701	737	964	32	17	15
2020.1/4	종로구	창신3동	7,230	3,558	3,672	1,228	545	683	1,224	542	682	4	3	1
2020.1/4	종로구	숭인1동	6,508	3,154	3,354	1,182	509	673	1,175	506	669	7	3	4
2020.1/4	종로구	숭인2동	9,965	5,027	4,938	1,695	835	860	1,684	829	855	11	6	5
2020.1/4	종로구	청운효자동	12,960	6,064	6,896	2,237	936	1,301	2,217	924	1,293	20	12	8
2020.1/4	종로구	혜화동	20,467	9,327	11,140	2,662	1,095	1,567	2,656	1,092	1,564	6	3	3
2020.1/4	중구	소계	136,469	66,769	69,700	23,794	10,495	13,299	23,448	10,303	13,145	346	192	154
2020.1/4	중구	소공동	3,057	1,539	1,518	298	148	150	254	120	134	44	28	16
2020.1/4	중구	회현동	5,812	3,134	2,678	1,509	781	728	1,436	737	699	73	44	29
2020.1/4	중구	명동	3,649	1,626	2,023	782	290	492	744	271	473	38	19	19
2020.1/4	중구	필동	4,904	2,425	2,479	838	373	465	832	369	463	6	4	2
2020.1/4	중구	장충동	5,573	2,749	2,824	823	358	465	813	353	460	10	5	5
2020.1/4	중구	광희동	6,427	3,368	3,059	1,192	585	607	1,159	567	592	33	18	15
2020.1/4	중구	을지로동	2,012	1,196	816	500	282	218	487	275	212	13	7	6
2020.1/4	중구	신당5동	10,969	5,350	5,619	1,742	719	1,023	1,729	713	1,016	13	6	7
2020.1/4	중구	황학동	13,779	6,601	7,178	1,961	885	1,076	1,932	867	1,065	29	18	11
2020.1/4	중구	중림동	12,925	6,479	6,446	2,056	918	1,138	2,034	908	1,126	22	10	12
2020.1/4	중구	신당동	9,236	4,504	4,732	1,393	634	759	1,351	613	738	42	21	21
2020.1/4	중구	다산동	15,028	7,297	7,731	2,618	1,119	1,499	2,609	1,114	1,495	9	5	4
2020.1/4	중구	약수동	17,696	8,346	9,350	3,667	1,575	2,092	3,658	1,570	2,088	9	5	4
2020.1/4	중구	청구동	14,379	6,840	7,539	2,614	1,052	1,562	2,613	1,051	1,562	1	1	-
2020.1/4	중구	동화동	11,023	5,315	5,708	1,801	776	1,025	1,797	775	1,022	4	1	3
2020.1/4	용산구	소계	246,165	119,961	126,204	39,439	16,753	22,686	38,947	16,455	22,492	492	298	194
2020.1/4	용산구	후암동	18,377	8,970	9,407	3,054	1,246	1,808	3,023	1,228	1,795	31	18	13
2020.1/4	용산구	용산2가동	11,789	5,750	6,039	2,097	881	1,216	2,067	861	1,206	30	20	10
2020.1/4	용산구	남영동	8,395	5,063	3,332	1,641	965	676	1,622	956	666	19	9	10
2020.1/4	용산구	원효로2동	14,578	6,850	7,728	2,379	997	1,382	2,377	997	1,380	2	-	2
2020.1/4	용산구	효창동	10,363	4,939	5,424	1,450	606	844	1,445	602	843	5	4	1
2020.1/4	용산구	용문동	12,554	6,014	6,540	2,053	851	1,202	2,048	848	1,200	5	3	2
2020.1/4	용산구	이촌1동	29,428	13,826	15,602	4,500	1,881	2,619	4,453	1,848	2,605	47	33	14
2020.1/4	용산구	이촌2동	8,926	4,195	4,731	1,761	709	1,052	1,754	702	1,052	7	7	-
2020.1/4	용산구	이태원1동	9,191	4,826	4,365	1,595	604	991	1,557	585	972	38	19	19
2020.1/4	용산구	이태원2동	10,878	5,125	5,753	1,910	767	1,143	1,866	740	1,126	44	27	17
2020.1/4	용산구	서빙고동	14,164	6,840	7,324	2,084	865	1,219	2,052	842	1,210	32	23	9
2020.1/4	용산구	보광동	15,997	8,210	7,787	2,778	1,110	1,668	2,758	1,100	1,658	20	10	10
2020.1/4	용산구	청파동	20,768	9,677	11,091	3,336	1,367	1,969	3,312	1,358	1,954	24	9	15
2020.1/4	용산구	원효로1동	16,737	8,100	8,637	1,989	883	1,106	1,957	865	1,092	32	18	14
2020.1/4	용산구	한강로동	19,884	9,687	10,197	3,086	1,429	1,657	3,010	1,385	1,625	76	44	32
2020.1/4	용산구	한남동	24,136	11,889	12,247	3,726	1,592	2,134	3,646	1,538	2,108	80	54	26
2020.1/4	성동구	소계	307,193	149,891	157,302	44,728	19,517	25,211	44,547	19,424	25,123	181	93	88
2020.1/4	성동구	왕십리2동	17,755	8,643	9,112	2,528	1,090	1,438	2,520	1,084	1,436	8	6	2
2020.1/4	성동구	마장동	23,927	11,710	12,217	3,737	1,677	2,060	3,728	1,674	2,054	9	3	6
2020.1/4	성동구	사근동	13,625	6,742	6,883	1,490	637	853	1,484	634	850	6	3	3
2020.1/4	성동구	행당1동	15,887	7,658	8,229	2,308	1,025	1,283	2,304	1,023	1,281	4	2	2
2020.1/4	성동구	행당2동	24,543	11,552	12,991	3,637	1,546	2,091	3,634	1,545	2,089	3	1	2
2020.1/4	성동구	응봉동	16,066	7,599	8,467	2,502	1,033	1,469	2,501	1,033	1,468	1	-	1
2020.1/4	성동구	금호1가동	15,885	7,613	8,272	2,426	1,050	1,376	2,420	1,047	1,373	6	3	3
2020.1/4	성동구	금호4가동	15,041	7,188	7,853	2,268	934	1,334	2,263	932	1,331	5	2	3
2020.1/4	성동구	성수1가1동	17,087	8,567	8,520	2,116	962	1,154	2,106	957	1,149	10	5	5
2020.1/4	성동구	성수1가2동	14,430	7,149	7,281	1,940	869	1,071	1,933	866	1,067	7	3	4
2020.1/4	성동구	성수2가1동	17,683	9,205	8,478	2,808	1,282	1,526	2,787	1,269	1,518	21	13	8
2020.1/4	성동구	성수2가3동	11,673	5,973	5,700	1,810	855	955	1,799	849	950	11	6	5
2020.1/4	성동구	송정동	11,388	5,987	5,401	1,714	789	925	1,696	779	917	18	10	8
2020.1/4	성동구	용답동	13,284	6,945	6,339	2,178	997	1,181	2,148	983	1,165	30	14	16
