기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2019	합계	합계	343,567	110,664	232,903	80,376	27,823	52,553	20,131	5,065	15,066	243,060	77,776	165,284
2019	종로구	소계	9,149	3,685	5,464	1,445	759	686	528	175	353	7,176	2,751	4,425
2019	종로구	사직동	439	144	295	59	23	36	20	2	18	360	119	241
2019	종로구	삼청동	167	51	116	13	3	10	5	-	5	149	48	101
2019	종로구	부암동	346	113	233	37	15	22	12	3	9	297	95	202
2019	종로구	평창동	640	165	475	45	9	36	26	2	24	569	154	415
2019	종로구	무악동	265	73	192	57	16	41	17	2	15	191	55	136
2019	종로구	교남동	1,650	675	975	68	30	38	25	4	21	1,557	641	916
2019	종로구	가회동	216	61	155	15	4	11	13	2	11	188	55	133
2019	종로구	종로1.2.3.4가동	781	599	182	298	230	68	38	24	14	445	345	100
2019	종로구	종로5·6가동	508	249	259	72	46	26	25	7	18	411	196	215
2019	종로구	이화동	596	202	394	89	35	54	130	43	87	377	124	253
2019	종로구	창신1동	477	239	238	184	134	50	21	10	11	272	95	177
2019	종로구	창신2동	496	164	332	129	54	75	22	11	11	345	99	246
2019	종로구	창신3동	328	114	214	47	20	27	25	10	15	256	84	172
2019	종로구	숭인1동	481	176	305	74	27	47	37	16	21	370	133	237
2019	종로구	숭인2동	626	319	307	125	80	45	27	10	17	474	229	245
2019	종로구	청운효자동	476	140	336	53	12	41	32	8	24	391	120	271
2019	종로구	혜화동	657	201	456	80	21	59	53	21	32	524	159	365
2019	중구	소계	6,323	2,427	3,896	1,447	680	767	325	84	241	4,551	1,663	2,888
2019	중구	소공동	72	37	35	14	12	2	1	-	1	57	25	32
2019	중구	회현동	492	271	221	182	132	50	12	5	7	298	134	164
2019	중구	명동	180	90	90	32	21	11	5	2	3	143	67	76
2019	중구	필동	238	102	136	31	17	14	8	4	4	199	81	118
2019	중구	장충동	207	73	134	34	15	19	5	2	3	168	56	112
2019	중구	광희동	392	199	193	56	35	21	12	6	6	324	158	166
2019	중구	을지로동	228	149	79	43	35	8	9	4	5	176	110	66
2019	중구	신당5동	481	164	317	115	50	65	32	6	26	334	108	226
2019	중구	황학동	562	224	338	151	76	75	24	7	17	387	141	246
2019	중구	중림동	508	205	303	144	77	67	26	6	20	338	122	216
2019	중구	신당동	464	201	263	93	51	42	27	7	20	344	143	201
2019	중구	다산동	609	199	410	114	44	70	30	10	20	465	145	320
2019	중구	약수동	949	272	677	219	54	165	81	17	64	649	201	448
2019	중구	청구동	657	163	494	184	52	132	39	8	31	434	103	331
2019	중구	동화동	284	78	206	35	9	26	14	-	14	235	69	166
2019	용산구	소계	8,838	2,848	5,990	2,154	917	1,237	293	68	225	6,391	1,863	4,528
2019	용산구	후암동	748	219	529	212	72	140	27	8	19	509	139	370
2019	용산구	용산2가동	483	121	362	113	33	80	29	4	25	341	84	257
2019	용산구	남영동	787	539	248	426	343	83	16	11	5	345	185	160
2019	용산구	원효로2동	482	130	352	127	49	78	12	2	10	343	79	264
2019	용산구	효창동	259	68	191	31	11	20	5	1	4	223	56	167
2019	용산구	용문동	399	102	297	106	24	82	11	2	9	282	76	206
2019	용산구	이촌1동	654	132	522	16	5	11	2	-	2	636	127	509
2019	용산구	이촌2동	365	82	283	47	13	34	9	1	8	309	68	241
2019	용산구	이태원1동	316	86	230	52	15	37	15	7	8	249	64	185
2019	용산구	이태원2동	406	100	306	79	14	65	18	1	17	309	85	224
2019	용산구	서빙고동	430	114	316	71	21	50	12	-	12	347	93	254
2019	용산구	보광동	714	193	521	245	64	181	41	4	37	428	125	303
2019	용산구	청파동	832	281	551	225	92	133	31	9	22	576	180	396
2019	용산구	원효로1동	439	162	277	74	32	42	17	4	13	348	126	222
2019	용산구	한강로동	702	253	449	157	65	92	16	6	10	529	182	347
2019	용산구	한남동	822	266	556	173	64	109	32	8	24	617	194	423
2019	성동구	소계	10,764	3,487	7,277	2,220	776	1,444	548	121	427	7,996	2,590	5,406
2019	성동구	왕십리2동	637	202	435	110	42	68	30	7	23	497	153	344
2019	성동구	마장동	888	309	579	166	65	101	49	17	32	673	227	446
2019	성동구	사근동	374	111	263	43	15	28	23	2	21	308	94	214
2019	성동구	행당1동	600	206	394	121	39	82	29	7	22	450	160	290
2019	성동구	행당2동	757	197	560	191	46	145	36	5	31	530	146	384
2019	성동구	응봉동	479	120	359	32	10	22	25	5	20	422	105	317
2019	성동구	금호1가동	612	171	441	199	48	151	37	6	31	376	117	259
2019	성동구	금호4가동	527	141	386	108	33	75	26	2	24	393	106	287
2019	성동구	성수1가1동	519	191	328	97	50	47	27	9	18	395	132	263
2019	성동구	성수1가2동	476	175	301	63	18	45	23	10	13	390	147	243
2019	성동구	성수2가1동	812	307	505	179	82	97	40	9	31	593	216	377
2019	성동구	성수2가3동	391	174	217	57	29	28	13	5	8	321	140	181
2019	성동구	송정동	479	180	299	132	57	75	31	6	25	316	117	199
2019	성동구	용답동	662	282	380	176	84	92	41	11	30	445	187	258
2019	성동구	왕십리도선동	887	291	596	256	80	176	42	10	32	589	201	388
2019	성동구	금호2.3가동	902	215	687	177	50	127	40	5	35	685	160	525
2019	성동구	옥수동	762	215	547	113	28	85	36	5	31	613	182	431
2019	광진구	소계	10,460	3,352	7,108	2,287	767	1,520	717	165	552	7,456	2,420	5,036
2019	광진구	화양동	559	180	379	99	38	61	23	7	16	437	135	302
2019	광진구	군자동	719	246	473	202	68	134	41	10	31	476	168	308
2019	광진구	중곡1동	575	215	360	163	56	107	43	15	28	369	144	225
2019	광진구	중곡2동	663	221	442	135	49	86	58	15	43	470	157	313
2019	광진구	중곡3동	716	240	476	177	55	122	62	16	46	477	169	308
2019	광진구	중곡4동	1,053	334	719	262	69	193	89	14	75	702	251	451
2019	광진구	능동	312	102	210	56	18	38	24	4	20	232	80	152
2019	광진구	구의1동	691	219	472	147	51	96	47	7	40	497	161	336
2019	광진구	구의2동	891	296	595	181	62	119	66	18	48	644	216	428
2019	광진구	구의3동	669	192	477	99	33	66	30	5	25	540	154	386
2019	광진구	광장동	522	149	373	58	22	36	27	6	21	437	121	316
2019	광진구	자양1동	834	262	572	226	67	159	67	11	56	541	184	357
2019	광진구	자양2동	693	207	486	158	58	100	40	11	29	495	138	357
2019	광진구	자양3동	644	167	477	85	32	53	35	7	28	524	128	396
